id,code,name,reconcile,account_type,chart_template_id:id
co_puc_313500,313500,"[Equity] Social capital - State Contributions",FALSE,equity,l10n_co_chart_template_generic
co_puc_314000,314000,"[Equity] Social capital - Social Fund",FALSE,equity,l10n_co_chart_template_generic
co_puc_320500,320500,"[Equity] Capital surplus - Premium on placement of shares, quotas or parts of capital stock",FALSE,equity,l10n_co_chart_template_generic
co_puc_321000,321000,"[Equity] Capital surplus - Donations",FALSE,equity,l10n_co_chart_template_generic
co_puc_321500,321500,"[Equity] Capital surplus - Goodwill",FALSE,equity,l10n_co_chart_template_generic
co_puc_322000,322000,"[Equity] Capital surplus - Know how",FALSE,equity,l10n_co_chart_template_generic
co_puc_322500,322500,"[Equity] Capital surplus - Equity method surplus",FALSE,equity,l10n_co_chart_template_generic
co_puc_330500,330500,"[Equity] Reserves - Mandatory reserves",FALSE,equity,l10n_co_chart_template_generic
co_puc_331000,331000,"[Equity] Reserves - Statutory reserves",FALSE,equity,l10n_co_chart_template_generic
co_puc_331500,331500,"[Equity] Reserves - Occasional reserves",FALSE,equity,l10n_co_chart_template_generic
co_puc_341000,341000,"[Equity] Assets revaluation - Fiscal consolidation",FALSE,equity,l10n_co_chart_template_generic
co_puc_350500,350500,"[Equity] Dividends declared in shares",FALSE,equity,l10n_co_chart_template_generic
co_puc_351000,351000,"[Equity] Participations declared in shares or equity interests",FALSE,equity,l10n_co_chart_template_generic
co_puc_360500,360500,"[Equity] Results for the year – Profit",FALSE,equity,l10n_co_chart_template_generic
co_puc_361000,361000,"[Equity] Results for the year – Loss",FALSE,equity,l10n_co_chart_template_generic
co_puc_370500,370500,"[Equity] Results from previous years - Retained earnings",FALSE,equity,l10n_co_chart_template_generic
co_puc_371000,371000,"[Equity] Results from previous years - Accumulated losses",FALSE,equity,l10n_co_chart_template_generic
co_puc_380500,380500,"[Equity] Surplus from valuations - Of investments",FALSE,equity,l10n_co_chart_template_generic
co_puc_381000,381000,"[Equity] Surplus from valuations - Of property, plant and equipment",FALSE,equity,l10n_co_chart_template_generic
co_puc_389500,389500,"[Equity] Surplus from valuations - Of other assets",FALSE,equity,l10n_co_chart_template_generic
co_puc_410500,410500,"[Income] Operational - Agriculture, livestock, hunting and silviculture",FALSE,income,l10n_co_chart_template_generic
co_puc_411000,411000,"[Income] Operational - Fishing",FALSE,income,l10n_co_chart_template_generic
co_puc_411500,411500,"[Income] Operational - Mining and quarrying",FALSE,income,l10n_co_chart_template_generic
co_puc_412000,412000,"[Income] Operational - Manufacturing industries",FALSE,income,l10n_co_chart_template_generic
co_puc_412500,412500,"[Income] Operational - Electricity, gas and water supply",FALSE,income,l10n_co_chart_template_generic
co_puc_413000,413000,"[Income] Operational - Construction",FALSE,income,l10n_co_chart_template_generic
co_puc_413500,413500,"[Income] Operational - Wholesale and retail trade",FALSE,income,l10n_co_chart_template_generic
co_puc_414000,414000,"[Income] Operational - Hotels and restaurants",FALSE,income,l10n_co_chart_template_generic
co_puc_414500,414500,"[Income] Operational - Transportation, warehousing and communications",FALSE,income,l10n_co_chart_template_generic
co_puc_415000,415000,"[Income] Operational - Financial activity",FALSE,income,l10n_co_chart_template_generic
co_puc_415500,415500,"[Income] Operational - Real estate, business and rental activities",FALSE,income,l10n_co_chart_template_generic
co_puc_416000,416000,"[Income] Operational - Education",FALSE,income,l10n_co_chart_template_generic
co_puc_416500,416500,"[Income] Operational - Health and social services",FALSE,income,l10n_co_chart_template_generic
co_puc_417000,417000,"[Income] Operational - Other community, social and personal service activities",FALSE,income,l10n_co_chart_template_generic
co_puc_417500,417500,"[Income] Operational - Returns on sales (DB)",FALSE,income,l10n_co_chart_template_generic
co_puc_420500,420500,"[Income] Non-operational - Other sales",FALSE,income,l10n_co_chart_template_generic
co_puc_421000,421000,"[Income] Non-operational - Financial",FALSE,income,l10n_co_chart_template_generic
co_puc_421005,421005,"[Income] Non-operational - Currency Exchange Gain",FALSE,income,l10n_co_chart_template_generic
co_puc_421500,421500,"[Income] Non-operational - Dividends and participations",FALSE,income,l10n_co_chart_template_generic
co_puc_421800,421800,"[Income] Non-operational - Income equity method",FALSE,income,l10n_co_chart_template_generic
co_puc_422000,422000,"[Income] Non-operational - Leases",FALSE,income,l10n_co_chart_template_generic
co_puc_422500,422500,"[Income] Non-operational - Commissions",FALSE,income,l10n_co_chart_template_generic
co_puc_423000,423000,"[Income] Non-operational - Fees",FALSE,income,l10n_co_chart_template_generic
co_puc_423500,423500,"[Income] Non-operational - Services",FALSE,income,l10n_co_chart_template_generic
