id,chart_template_id/id,code,account_type,name,reconcile
l10n_ar.base_percepcion_iibb_ct_sufrida,l10n_ar.l10nar_base_chart_template,1.1.4.02.510,asset_current,Perception IIBB Chubut incurred,False
l10n_ar.base_saldo_favor_iibb_fo,l10n_ar.l10nar_base_chart_template,1.1.4.02.520,asset_current,Balance in favour IIBB Formosa,False
l10n_ar.base_retencion_iibb_fo_sufrida,l10n_ar.l10nar_base_chart_template,1.1.4.02.530,asset_current,Retention IIBB Formosa incurred,False
l10n_ar.base_percepcion_iibb_fo_sufrida,l10n_ar.l10nar_base_chart_template,1.1.4.02.540,asset_current,Perception IIBB Formosa incurred,False
l10n_ar.base_saldo_favor_iibb_mi,l10n_ar.l10nar_base_chart_template,1.1.4.02.550,asset_current,Balance in favour IIBB Missions,False
l10n_ar.base_retencion_iibb_mi_sufrida,l10n_ar.l10nar_base_chart_template,1.1.4.02.560,asset_current,Retention IIBB Misiones incurred,False
l10n_ar.base_percepcion_iibb_mi_sufrida,l10n_ar.l10nar_base_chart_template,1.1.4.02.570,asset_current,Perception IIBB Misiones incurred,False
l10n_ar.base_saldo_favor_iibb_ne,l10n_ar.l10nar_base_chart_template,1.1.4.02.580,asset_current,Balance in favour IIBB Neuquén,False
l10n_ar.base_retencion_iibb_ne_sufrida,l10n_ar.l10nar_base_chart_template,1.1.4.02.590,asset_current,Retention IIBB Neuquén incurred,False
l10n_ar.base_percepcion_iibb_ne_sufrida,l10n_ar.l10nar_base_chart_template,1.1.4.02.600,asset_current,Perception IIBB Neuquén incurred,False
l10n_ar.base_saldo_favor_iibb_lp,l10n_ar.l10nar_base_chart_template,1.1.4.02.610,asset_current,Balance in favor IIBB La Pampa,False
l10n_ar.base_retencion_iibb_lp_sufrida,l10n_ar.l10nar_base_chart_template,1.1.4.02.620,asset_current,Retention IIBB La Pampa incurred,False
l10n_ar.base_percepcion_iibb_lp_sufrida,l10n_ar.l10nar_base_chart_template,1.1.4.02.630,asset_current,Perception IIBB La Pampa incurred,False
l10n_ar.base_saldo_favor_iibb_rn,l10n_ar.l10nar_base_chart_template,1.1.4.02.640,asset_current,Balance in favor IIBB Río Negro,False
l10n_ar.base_retencion_iibb_rn_sufrida,l10n_ar.l10nar_base_chart_template,1.1.4.02.650,asset_current,Retention IIBB Río Negro incurred,False
l10n_ar.base_percepcion_iibb_rn_sufrida,l10n_ar.l10nar_base_chart_template,1.1.4.02.660,asset_current,Perception IIBB Río Negro incurred,False
l10n_ar.base_saldo_favor_iibb_az,l10n_ar.l10nar_base_chart_template,1.1.4.02.670,asset_current,Balance in favor IIBB Santa Cruz,False
l10n_ar.base_retencion_iibb_az_sufrida,l10n_ar.l10nar_base_chart_template,1.1.4.02.680,asset_current,Retention IIBB Santa Cruz incurred,False
l10n_ar.base_percepcion_iibb_az_sufrida,l10n_ar.l10nar_base_chart_template,1.1.4.02.690,asset_current,Perception IIBB Santa Cruz incurred,False
l10n_ar.base_saldo_favor_iibb_tf,l10n_ar.l10nar_base_chart_template,1.1.4.02.700,asset_current,Salt in favor IIBB Tierra del Fuego,False
l10n_ar.base_retencion_iibb_tf_sufrida,l10n_ar.l10nar_base_chart_template,1.1.4.02.710,asset_current,Retention IIBB Tierra del Fuego incurred,False
l10n_ar.base_percepcion_iibb_tf_sufrida,l10n_ar.l10nar_base_chart_template,1.1.4.02.720,asset_current,Perception IIBB Tierra del Fuego incurred,False
l10n_ar.base_sircreb,l10n_ar.l10nar_base_chart_template,1.1.4.02.730,asset_current,SIRCREB,False
l10n_ar.base_saldo_a_favor_suss,l10n_ar.l10nar_base_chart_template,1.1.4.03.010,asset_current,Balance for SUSS,False
l10n_ar.base_retencion_suss_sufrida,l10n_ar.l10nar_base_chart_template,1.1.4.03.020,asset_current,SUSS Retention incurred,False
l10n_ar.ri_iva_credito_fiscal,l10n_ar.l10nar_ri_chart_template,1.1.4.04.010,asset_current,Tax credit VAT,False
l10n_ar.ri_percepcion_iva_sufrida,l10n_ar.l10nar_ri_chart_template,1.1.4.04.020,asset_current,Perception VAT incurred,False
l10n_ar.ri_retencion_iva_sufrida,l10n_ar.l10nar_ri_chart_template,1.1.4.04.030,asset_current,Retention VAT incurred,False
l10n_ar.ri_iva_saldo_tecnico_favor,l10n_ar.l10nar_ri_chart_template,1.1.4.04.040,asset_current,VAT Technical balance,False
l10n_ar.ri_iva_saldo_libre_disponibilidad,l10n_ar.l10nar_ri_chart_template,1.1.4.04.050,asset_current,VAT Available balance,False
l10n_ar.base_anticipo_ganancias,l10n_ar.l10nar_ex_chart_template,1.1.4.05.010,asset_current,Advance to earnings,False
l10n_ar.base_percepcion_ganancias_sufrida,l10n_ar.l10nar_ex_chart_template,1.1.4.05.020,asset_current,Perception Income Tax incurred,False
l10n_ar.base_retencion_ganancias_sufrida,l10n_ar.l10nar_ex_chart_template,1.1.4.05.030,asset_current,Retention Profits incurred,False
l10n_ar.base_saldo_favor_ganancias,l10n_ar.l10nar_ex_chart_template,1.1.4.05.040,asset_current,Balance Profits,False
l10n_ar.base_imp_debitos_computables,l10n_ar.l10nar_base_chart_template,1.1.4.05.050,asset_current,Computable Debit Tax,False
l10n_ar.base_otros_creditos,l10n_ar.l10nar_base_chart_template,1.1.5.01.010,asset_receivable,Sundry Debtors,True
l10n_ar.base_materia_prima,l10n_ar.l10nar_base_chart_template,1.1.6.01.010,asset_current,Raw materials,False
l10n_ar.base_productos_en_proceso,l10n_ar.l10nar_base_chart_template,1.1.6.01.020,asset_current,Products in process,False
l10n_ar.base_productos_terminados,l10n_ar.l10nar_base_chart_template,1.1.6.01.030,asset_current,Finished products,False
l10n_ar.base_mercaderia_reventa,l10n_ar.l10nar_base_chart_template,1.1.6.01.040,asset_current,Resale merchandises,False
l10n_ar.base_anticipo_proveedores,l10n_ar.l10nar_base_chart_template,1.1.6.01.050,asset_current,Advance to suppliers,False
l10n_ar.base_instalaciones,l10n_ar.l10nar_base_chart_template,1.2.1.01.010,asset_fixed,Facilities,False
l10n_ar.base_amortizacion_acumulada_instalaciones,l10n_ar.l10nar_base_chart_template,1.2.1.01.020,asset_fixed,Accumulated amortization of installations,False
l10n_ar.base_maq_y_equipos,l10n_ar.l10nar_base_chart_template,1.2.1.02.010,asset_fixed,Machinery and equipments,False
l10n_ar.base_amortizacion_acumulada_maq_y_equipos,l10n_ar.l10nar_base_chart_template,1.2.1.02.020,asset_fixed,Accumulated amortization of machinery and equipment,False
l10n_ar.base_muebles_y_utiles,l10n_ar.l10nar_base_chart_template,1.2.1.03.010,asset_fixed,Furniture and tools,False
l10n_ar.base_amortizacion_acumulada_muebles_utiles,l10n_ar.l10nar_base_chart_template,1.2.1.03.020,asset_fixed,Accumulated amortization of furnitures and tools,False
l10n_ar.base_rodados,l10n_ar.l10nar_base_chart_template,1.2.1.04.010,asset_fixed,Rolling assets,False
l10n_ar.base_amortizacion_acumulada_rodados,l10n_ar.l10nar_base_chart_template,1.2.1.04.020,asset_fixed,Accumulated amortization of rolling assets,False
l10n_ar.base_derechos_de_marca,l10n_ar.l10nar_base_chart_template,1.2.2.01.010,asset_fixed,Trademark Rights,False
l10n_ar.base_amortizacion_acumulada_derechos_de_marca,l10n_ar.l10nar_base_chart_template,1.2.2.01.020,asset_fixed,Accrued amortization of trademark rights,False
l10n_ar.base_proveedores,l10n_ar.l10nar_base_chart_template,2.1.1.01.010,liability_payable,Suppliers,True
l10n_ar.base_cheques_diferidos,l10n_ar.l10nar_base_chart_template,2.1.1.01.020,liability_current,Deferred checks to pay,True
l10n_ar.base_cheques_rechazados,l10n_ar.l10nar_base_chart_template,2.1.1.01.030,liability_current,Rejected Checks,False
l10n_ar.base_anticipos_de_clientes,l10n_ar.l10nar_base_chart_template,2.1.1.01.040,liability_current,Customer advances,False
l10n_ar.base_alquileres_a_pagar,l10n_ar.l10nar_base_chart_template,2.1.1.01.050,liability_payable,Rentals to pay,True
l10n_ar.base_intereses_a_pagar,l10n_ar.l10nar_base_chart_template,2.1.2.01.010,liability_current,Interests to pay,False
l10n_ar.base_giro_en_descubierto,l10n_ar.l10nar_base_chart_template,2.1.2.01.020,liability_current,Overdraft bank account xxxxx,False
l10n_ar.base_otras_deudas_documentadas,l10n_ar.l10nar_base_chart_template,2.1.2.01.030,liability_current,Other documented debts,False
l10n_ar.base_prestamo_banco_x,l10n_ar.l10nar_base_chart_template,2.1.2.01.040,liability_non_current,Bank Loan xxxxxx,False
l10n_ar.base_acreedores_varios,l10n_ar.l10nar_base_chart_template,2.1.2.01.050,liability_payable,Various creditors,True
l10n_ar.base_tasa_municipal_a_pagar,l10n_ar.l10nar_base_chart_template,2.1.3.01.010,liability_payable,Municipal Tax payable,True
l10n_ar.base_plan_tasa_municipal_a_pagar,l10n_ar.l10nar_base_chart_template,2.1.3.01.020,liability_payable,Municipal Tax Plan payable,True
l10n_ar.base_iibb_a_pagar,l10n_ar.l10nar_base_chart_template,2.1.3.02.010,liability_payable,IIBB a pagar,True
l10n_ar.ri_retencion_sicore_a_pagar,l10n_ar.l10nar_ex_chart_template,2.1.3.02.020,liability_payable,SICORE payable,True
l10n_ar.ri_retencion_iibb_caba_aplicada,l10n_ar.l10nar_ex_chart_template,2.1.3.02.030,liability_current,Retention IIBB CABA applied,False
l10n_ar.ri_percepcion_iibb_caba_aplicada,l10n_ar.l10nar_ex_chart_template,2.1.3.02.040,liability_current,Perception IIBB CABA applied,False
l10n_ar.ri_retencion_iibb_ba_aplicada,l10n_ar.l10nar_ex_chart_template,2.1.3.02.050,liability_current,Retention IIBB ARBA applied,False
l10n_ar.ri_percepcion_iibb_ba_aplicada,l10n_ar.l10nar_ex_chart_template,2.1.3.02.060,liability_current,Perception IIBB ARBA applied,False
l10n_ar.ri_retencion_iibb_ca_aplicada,l10n_ar.l10nar_ex_chart_template,2.1.3.02.070,liability_current,Retention IIBB Catamarca applied,False
l10n_ar.ri_percepcion_iibb_ca_aplicada,l10n_ar.l10nar_ex_chart_template,2.1.3.02.080,liability_current,Perception IIBB Catamarca applied,False
l10n_ar.ri_retencion_iibb_co_aplicada,l10n_ar.l10nar_ex_chart_template,2.1.3.02.090,liability_current,Retention IIBB Córdoba applied,False
l10n_ar.ri_percepcion_iibb_co_aplicada,l10n_ar.l10nar_ex_chart_template,2.1.3.02.100,liability_current,Perception IIBB Córdoba applied,False
l10n_ar.ri_retencion_iibb_rr_aplicada,l10n_ar.l10nar_ex_chart_template,2.1.3.02.110,liability_current,Retention IIBB Corrientes applied,False
l10n_ar.ri_percepcion_iibb_rr_aplicada,l10n_ar.l10nar_ex_chart_template,2.1.3.02.120,liability_current,Perception IIBB Corrientes applied,False
