"id","name","applicability"
"account_tag_external_code_5831","5831","accounts"
"account_tag_external_code_5834","5834","accounts"
"account_tag_external_code_5835","5835","accounts"
"account_tag_external_code_5840","5840","accounts"
"account_tag_external_code_5842","5842","accounts"
"account_tag_external_code_5844","5844","accounts"
"account_tag_external_code_5850","5850","accounts"
"account_tag_external_code_5851","5851","accounts"
"account_tag_external_code_5852","5852","accounts"
"account_tag_external_code_5853","5853","accounts"
"account_tag_external_code_5855","5855","accounts"
"account_tag_external_code_5856","5856","accounts"
"account_tag_external_code_5857","5857","accounts"
"account_tag_external_code_5858","5858","accounts"
"account_tag_external_code_5860","5860","accounts"
"account_tag_external_code_5900","5900","accounts"
"account_tag_external_code_6000","6000","accounts"
"account_tag_external_code_6005","6005","accounts"
"account_tag_external_code_6010","6010","accounts"
"account_tag_external_code_6015","6015","accounts"
"account_tag_external_code_6020","6020","accounts"
"account_tag_external_code_6025","6025","accounts"
"account_tag_external_code_6030","6030","accounts"
"account_tag_external_code_6040","6040","accounts"
"account_tag_external_code_6050","6050","accounts"
"account_tag_external_code_6060","6060","accounts"
"account_tag_external_code_6070","6070","accounts"
"account_tag_external_code_6090","6090","accounts"
"account_tag_external_code_6100","6100","accounts"
"account_tag_external_code_6200","6200","accounts"
"account_tag_external_code_6205","6205","accounts"
"account_tag_external_code_6210","6210","accounts"
"account_tag_external_code_6220","6220","accounts"
"account_tag_external_code_6225","6225","accounts"
"account_tag_external_code_6230","6230","accounts"
"account_tag_external_code_6240","6240","accounts"
"account_tag_external_code_6250","6250","accounts"
"account_tag_external_code_6260","6260","accounts"
"account_tag_external_code_6270","6270","accounts"
"account_tag_external_code_6290","6290","accounts"
"account_tag_external_code_6400","6400","accounts"
"account_tag_external_code_6401","6401","accounts"
"account_tag_external_code_6402","6402","accounts"
"account_tag_external_code_6403","6403","accounts"
"account_tag_external_code_6404","6404","accounts"
"account_tag_external_code_6410","6410","accounts"
"account_tag_external_code_6411","6411","accounts"
"account_tag_external_code_6420","6420","accounts"
"account_tag_external_code_6421","6421","accounts"
"account_tag_external_code_6450","6450","accounts"
"account_tag_external_code_6451","6451","accounts"
"account_tag_external_code_6452","6452","accounts"
"account_tag_external_code_6453","6453","accounts"
"account_tag_external_code_6454","6454","accounts"
"account_tag_external_code_6455","6455","accounts"
"account_tag_external_code_6460","6460","accounts"
"account_tag_external_code_6461","6461","accounts"
"account_tag_external_code_6500","6500","accounts"
"account_tag_external_code_6560","6560","accounts"
"account_tag_external_code_6580","6580","accounts"
"account_tag_external_code_6590","6590","accounts"
"account_tag_external_code_6600","6600","accounts"
"account_tag_external_code_6601","6601","accounts"
"account_tag_external_code_6602","6602","accounts"
"account_tag_external_code_6603","6603","accounts"
"account_tag_external_code_6660","6660","accounts"
"account_tag_external_code_6661","6661","accounts"
"account_tag_external_code_6662","6662","accounts"
"account_tag_external_code_6663","6663","accounts"
"account_tag_external_code_6670","6670","accounts"
"account_tag_external_code_6680","6680","accounts"
"account_tag_external_code_6685","6685","accounts"
"account_tag_external_code_6690","6690","accounts"
"account_tag_external_code_6695","6695","accounts"
"account_tag_external_code_6700","6700","accounts"
"account_tag_external_code_6710","6710","accounts"
"account_tag_external_code_6720","6720","accounts"
"account_tag_external_code_6730","6730","accounts"
"account_tag_external_code_6731","6731","accounts"
"account_tag_external_code_6740","6740","accounts"
"account_tag_external_code_6750","6750","accounts"
"account_tag_external_code_6751","6751","accounts"
"account_tag_external_code_6790","6790","accounts"
"account_tag_external_code_6791","6791","accounts"
"account_tag_external_code_6800","6800","accounts"
"account_tag_external_code_7000","7000","accounts"
"account_tag_external_code_7005","7005","accounts"
"account_tag_external_code_7010","7010","accounts"
"account_tag_external_code_7011","7011","accounts"
"account_tag_external_code_7020","7020","accounts"
"account_tag_external_code_7021","7021","accounts"
"account_tag_external_code_7022","7022","accounts"
"account_tag_external_code_7030","7030","accounts"
"account_tag_external_code_7040","7040","accounts"
"account_tag_external_code_7041","7041","accounts"
"account_tag_external_code_7042","7042","accounts"
"account_tag_external_code_7050","7050","accounts"
"account_tag_external_code_7090","7090","accounts"
"account_tag_external_code_7100","7100","accounts"
"account_tag_external_code_7110","7110","accounts"
"account_tag_external_code_7120","7120","accounts"
"account_tag_external_code_7130","7130","accounts"
"account_tag_external_code_7140","7140","accounts"
"account_tag_external_code_7150","7150","accounts"
"account_tag_external_code_7160","7160","accounts"
"account_tag_external_code_7161","7161","accounts"
"account_tag_external_code_7162","7162","accounts"
"account_tag_external_code_7170","7170","accounts"
"account_tag_external_code_7171","7171","accounts"
"account_tag_external_code_7180","7180","accounts"
